Reach,River Sta,Profile,Q Total,SA Chan,SA Left,SA Right,SA Total
,,,(cfs),(acres),(acres),(acres),(acres)
Rch2B-3_RM216.1,453056,PF 36,3600,535.12,210.28,181.16,926.56
Rch2B-3_RM216.1,453056,PF 37,3700,536.35,213.78,183.85,933.98
Rch2B-3_RM216.1,453056,PF 38,3800,537.56,216.67,186.74,940.97
Rch2B-3_RM216.1,453056,PF 39,3900,538.62,219.49,189.31,947.43
Rch2B-3_RM216.1,453056,PF 40,4000,539.74,222.78,191.59,954.11
Rch2B-3_RM216.1,453056,PF 41,4100,540.7,225.56,194.2,960.46
Rch2B-3_RM216.1,453056,PF 42,4200,541.53,228.26,197.09,966.88
Rch2B-3_RM216.1,453056,PF 43,4300,542.41,235.96,200.09,978.46
Rch2B-3_RM216.1,453056,PF 44,4400,543.19,238.46,204.52,986.17
Rch2B-3_RM216.1,453056,PF 45,4500,543.97,241.02,206.82,991.81
,,,,,,,
Rch2B-3_RM216.1,452725,PF 1,100,273.09,0.61,0.03,273.73
Rch2B-3_RM216.1,452725,PF 2,200,295.28,0.62,0.86,296.76
Rch2B-3_RM216.1,452725,PF 3,300,311.19,2.7,1.76,315.64
Rch2B-3_RM216.1,452725,PF 4,400,321.47,2.86,3.2,327.53
Rch2B-3_RM216.1,452725,PF 5,500,329.86,3.44,5.14,338.45
Rch2B-3_RM216.1,452725,PF 6,600,337.97,4.55,8.13,350.64
Rch2B-3_RM216.1,452725,PF 7,700,346.53,7.52,10.83,364.88
Rch2B-3_RM216.1,452725,PF 8,800,355.35,10.6,14.11,380.06
Rch2B-3_RM216.1,452725,PF 9,900,364.8,14.59,17.3,396.69
Rch2B-3_RM216.1,452725,PF 10,1000,374.66,19.71,20.46,414.83
Rch2B-3_RM216.1,452725,PF 11,1100,385.61,24.96,24.23,434.81
Rch2B-3_RM216.1,452725,PF 12,1200,396.4,31.04,29.29,456.73
Rch2B-3_RM216.1,452725,PF 13,1300,406.71,36.24,34.63,477.58
Rch2B-3_RM216.1,452725,PF 14,1400,419.46,42.57,41.05,503.08
Rch2B-3_RM216.1,452725,PF 15,1500,431.32,49.43,47.98,528.73
Rch2B-3_RM216.1,452725,PF 16,1600,441.54,58.76,55.85,556.16
Rch2B-3_RM216.1,452725,PF 17,1700,451.54,67.14,63.45,582.13
Rch2B-3_RM216.1,452725,PF 18,1800,459.16,75.95,71.38,606.49
Rch2B-3_RM216.1,452725,PF 19,1900,467.38,86.14,79.37,632.89
Rch2B-3_RM216.1,452725,PF 20,2000,474.74,97.22,87.39,659.36
Rch2B-3_RM216.1,452725,PF 21,2100,481.58,107.61,94.84,684.03
Rch2B-3_RM216.1,452725,PF 22,2200,487.33,117.28,102.84,707.44
Rch2B-3_RM216.1,452725,PF 23,2300,492.09,126.09,111.73,729.91
Rch2B-3_RM216.1,452725,PF 24,2400,497.27,133.68,119.07,750.02
Rch2B-3_RM216.1,452725,PF 25,2500,501.74,140.13,124.9,766.77
Rch2B-3_RM216.1,452725,PF 26,2600,505.95,146.02,130.77,782.73
Rch2B-3_RM216.1,452725,PF 27,2700,509.48,151.49,139.58,800.55
Rch2B-3_RM216.1,452725,PF 28,2800,512.91,156.91,145.1,814.92
Rch2B-3_RM216.1,452725,PF 29,2900,515.92,162.19,154.25,832.36
Rch2B-3_RM216.1,452725,PF 30,3000,518.6,167.87,158.39,844.86
Rch2B-3_RM216.1,452725,PF 31,3100,521.17,174.26,162.95,858.38
Rch2B-3_RM216.1,452725,PF 32,3200,523.46,180.06,167.39,870.91
Rch2B-3_RM216.1,452725,PF 33,3300,525.8,192.05,171.11,888.97
Rch2B-3_RM216.1,452725,PF 34,3400,527.78,198.29,174.64,900.71
Rch2B-3_RM216.1,452725,PF 35,3500,529.69,203.58,177.92,911.19
Rch2B-3_RM216.1,452725,PF 36,3600,531.38,207.92,181.14,920.44
Rch2B-3_RM216.1,452725,PF 37,3700,532.62,211.42,183.83,927.86
Rch2B-3_RM216.1,452725,PF 38,3800,533.83,214.3,186.72,934.84
Rch2B-3_RM216.1,452725,PF 39,3900,534.89,217.12,189.28,941.29
Rch2B-3_RM216.1,452725,PF 40,4000,536.01,220.41,191.56,947.97
Rch2B-3_RM216.1,452725,PF 41,4100,536.97,223.18,194.17,954.32
Rch2B-3_RM216.1,452725,PF 42,4200,537.8,225.89,197.05,960.73
Rch2B-3_RM216.1,452725,PF 43,4300,538.68,233.58,200.05,972.31
Rch2B-3_RM216.1,452725,PF 44,4400,539.46,236.09,204.47,980.02
Rch2B-3_RM216.1,452725,PF 45,4500,540.24,238.64,206.76,985.65
,,,,,,,
Rch2B-3_RM216.1,452295,PF 1,100,272.26,0.61,0.03,272.9
Rch2B-3_RM216.1,452295,PF 2,200,294.13,0.62,0.86,295.62
Rch2B-3_RM216.1,452295,PF 3,300,309.78,2.7,1.76,314.23
Rch2B-3_RM216.1,452295,PF 4,400,319.95,2.86,3.2,326.01
Rch2B-3_RM216.1,452295,PF 5,500,328.23,3.44,5.14,336.82
Rch2B-3_RM216.1,452295,PF 6,600,336.1,4.55,8.13,348.77
Rch2B-3_RM216.1,452295,PF 7,700,344.6,7.52,10.83,362.94
Rch2B-3_RM216.1,452295,PF 8,800,353.36,10.6,14.11,378.07
Rch2B-3_RM216.1,452295,PF 9,900,362.73,14.59,17.3,394.62
Rch2B-3_RM216.1,452295,PF 10,1000,372.4,19.71,20.46,412.57
Rch2B-3_RM216.1,452295,PF 11,1100,382.86,24.96,24.23,432.06
Rch2B-3_RM216.1,452295,PF 12,1200,393.28,31.04,29.29,453.6
Rch2B-3_RM216.1,452295,PF 13,1300,403.17,36.24,34.63,474.04
Rch2B-3_RM216.1,452295,PF 14,1400,415.42,42.57,41.05,499.04
Rch2B-3_RM216.1,452295,PF 15,1500,426.77,49.38,47.98,524.13
Rch2B-3_RM216.1,452295,PF 16,1600,436.75,58.13,55.85,550.74
Rch2B-3_RM216.1,452295,PF 17,1700,446.61,66.25,63.45,576.31
Rch2B-3_RM216.1,452295,PF 18,1800,454.07,74.79,71.38,600.24
Rch2B-3_RM216.1,452295,PF 19,1900,462.22,84.62,79.37,626.21
Rch2B-3_RM216.1,452295,PF 20,2000,469.53,95.43,87.39,652.36
Rch2B-3_RM216.1,452295,PF 21,2100,476.34,105.63,94.84,676.81
Rch2B-3_RM216.1,452295,PF 22,2200,482.05,115.03,102.84,699.92
Rch2B-3_RM216.1,452295,PF 23,2300,486.75,123.62,111.73,722.1
Rch2B-3_RM216.1,452295,PF 24,2400,491.86,131.13,119.07,742.06
Rch2B-3_RM216.1,452295,PF 25,2500,496.22,137.54,124.9,758.65
Rch2B-3_RM216.1,452295,PF 26,2600,500.38,143.4,130.77,774.55
Rch2B-3_RM216.1,452295,PF 27,2700,503.87,148.83,139.58,792.29
Rch2B-3_RM216.1,452295,PF 28,2800,507.25,154.24,145.1,806.59
Rch2B-3_RM216.1,452295,PF 29,2900,510.24,159.51,154.25,824
Rch2B-3_RM216.1,452295,PF 30,3000,512.89,165.17,158.39,836.45
Rch2B-3_RM216.1,452295,PF 31,3100,515.44,171.54,162.94,849.91
Rch2B-3_RM216.1,452295,PF 32,3200,517.71,177.3,167.38,862.4
Rch2B-3_RM216.1,452295,PF 33,3300,520.05,189.29,171.1,880.44
Rch2B-3_RM216.1,452295,PF 34,3400,522.02,195.52,174.63,892.18
Rch2B-3_RM216.1,452295,PF 35,3500,523.94,200.81,177.9,902.65
Rch2B-3_RM216.1,452295,PF 36,3600,525.63,205.14,181.12,911.89
Rch2B-3_RM216.1,452295,PF 37,3700,526.86,208.63,183.81,919.3
Rch2B-3_RM216.1,452295,PF 38,3800,528.08,211.5,186.69,926.27
Rch2B-3_RM216.1,452295,PF 39,3900,529.14,214.32,189.26,932.71
Rch2B-3_RM216.1,452295,PF 40,4000,530.25,217.61,191.53,939.39
Rch2B-3_RM216.1,452295,PF 41,4100,531.21,220.38,194.14,945.73
Rch2B-3_RM216.1,452295,PF 42,4200,532.05,223.08,197.02,952.14
