Reach,River Sta,Profile,Q Total,SA Chan,SA Left,SA Right,SA Total
,,,(cfs),(acres),(acres),(acres),(acres)
LESB,50602,PF 29,2900,191.16,17.04,15.06,223.26
LESB,50602,PF 30,3000,192.63,17.57,15.98,226.18
LESB,50602,PF 31,3100,194.04,18.31,16.98,229.33
LESB,50602,PF 32,3200,195.32,19.16,17.93,232.41
LESB,50602,PF 33,3300,196.61,20.02,18.74,235.37
LESB,50602,PF 34,3400,197.96,21.12,19.94,239.02
LESB,50602,PF 35,3500,199.27,22,21.37,242.65
LESB,50602,PF 36,3600,200.73,23.17,22.66,246.56
LESB,50602,PF 37,3700,201.81,24.41,24.14,250.36
LESB,50602,PF 38,3800,203.26,26.41,26.45,256.12
LESB,50602,PF 39,3900,204.49,28.49,28.8,261.78
LESB,50602,PF 40,4000,205.58,31.07,31.97,268.61
LESB,50602,PF 41,4100,206.63,34.01,35.45,276.09
LESB,50602,PF 42,4200,207.59,37.03,38.64,283.26
LESB,50602,PF 43,4300,208.45,40.86,41.78,291.09
LESB,50602,PF 44,4400,209.21,44.32,44.98,298.51
LESB,50602,PF 45,4500,209.88,48.27,49.1,307.24
,,,,,,,
LESB,50113,PF 1,100,74.33,,0.72,75.05
LESB,50113,PF 2,200,84.58,0.01,0.82,85.4
LESB,50113,PF 3,300,94.41,0.15,1.01,95.58
LESB,50113,PF 4,400,101.81,0.41,1.19,103.41
LESB,50113,PF 5,500,108.02,0.74,1.37,110.13
LESB,50113,PF 6,600,114.46,1.03,1.84,117.33
LESB,50113,PF 7,700,121.31,1.14,2.08,124.54
LESB,50113,PF 8,800,126.9,1.44,2.43,130.77
LESB,50113,PF 9,900,131.74,1.78,2.73,136.25
LESB,50113,PF 10,1000,138.37,2.01,3.15,143.52
LESB,50113,PF 11,1100,142.98,2.4,3.46,148.84
LESB,50113,PF 12,1200,147.51,2.86,3.81,154.18
LESB,50113,PF 13,1300,151.46,3.42,4.25,159.14
LESB,50113,PF 14,1400,155.08,3.87,4.61,163.55
LESB,50113,PF 15,1500,158.36,4.54,5.11,168.01
LESB,50113,PF 16,1600,161.38,5.25,5.59,172.22
LESB,50113,PF 17,1700,164.39,5.92,6.13,176.44
LESB,50113,PF 18,1800,166.81,6.44,6.67,179.92
LESB,50113,PF 19,1900,169.49,7.22,7.37,184.08
LESB,50113,PF 20,2000,172.04,7.86,8.29,188.2
LESB,50113,PF 21,2100,174.12,8.66,8.86,191.63
LESB,50113,PF 22,2200,176.5,9.31,9.43,195.24
LESB,50113,PF 23,2300,179.12,10.35,10.26,199.72
LESB,50113,PF 24,2400,181.41,11.45,10.78,203.63
LESB,50113,PF 25,2500,183.27,12.57,11.42,207.26
LESB,50113,PF 26,2600,184.76,13.7,12.12,210.58
LESB,50113,PF 27,2700,186.32,14.98,12.91,214.21
LESB,50113,PF 28,2800,187.78,16.13,13.95,217.86
LESB,50113,PF 29,2900,189.14,17.04,14.96,221.13
LESB,50113,PF 30,3000,190.58,17.57,15.84,224
LESB,50113,PF 31,3100,191.97,18.31,16.77,227.05
LESB,50113,PF 32,3200,193.23,19.16,17.67,230.06
LESB,50113,PF 33,3300,194.51,20.02,18.45,232.97
LESB,50113,PF 34,3400,195.85,21.11,19.63,236.59
LESB,50113,PF 35,3500,197.15,21.99,21.04,240.17
LESB,50113,PF 36,3600,198.6,23.12,22.26,243.98
LESB,50113,PF 37,3700,199.66,24.3,23.66,247.62
LESB,50113,PF 38,3800,201.1,26.16,25.65,252.91
LESB,50113,PF 39,3900,202.32,28.03,27.57,257.92
LESB,50113,PF 40,4000,203.4,30.53,30.46,264.39
LESB,50113,PF 41,4100,204.45,33.3,33.77,271.52
LESB,50113,PF 42,4200,205.41,36.07,36.82,278.31
LESB,50113,PF 43,4300,206.27,39.69,39.76,285.71
LESB,50113,PF 44,4400,207.03,42.99,42.86,292.87
LESB,50113,PF 45,4500,207.7,46.86,46.94,301.5
,,,,,,,
LESB,49685,PF 1,100,73.72,,0.72,74.45
LESB,49685,PF 2,200,83.77,0.01,0.82,84.6
LESB,49685,PF 3,300,93.55,0.15,1.01,94.72
LESB,49685,PF 4,400,100.92,0.41,1.19,102.52
LESB,49685,PF 5,500,107.1,0.74,1.37,109.21
LESB,49685,PF 6,600,113.51,1.03,1.84,116.38
LESB,49685,PF 7,700,120.34,1.14,2.08,123.56
LESB,49685,PF 8,800,125.91,1.44,2.43,129.77
LESB,49685,PF 9,900,130.69,1.78,2.73,135.21
LESB,49685,PF 10,1000,137.29,2.01,3.15,142.44
LESB,49685,PF 11,1100,141.88,2.4,3.46,147.74
LESB,49685,PF 12,1200,146.39,2.86,3.81,153.06
LESB,49685,PF 13,1300,150.33,3.42,4.25,158.01
LESB,49685,PF 14,1400,153.92,3.87,4.61,162.4
LESB,49685,PF 15,1500,157.16,4.54,5.11,166.81
LESB,49685,PF 16,1600,160.06,5.25,5.59,170.91
LESB,49685,PF 17,1700,162.92,5.92,6.13,174.97
LESB,49685,PF 18,1800,165.26,6.44,6.67,178.38
LESB,49685,PF 19,1900,167.83,7.22,7.37,182.42
LESB,49685,PF 20,2000,170.29,7.86,8.29,186.44
LESB,49685,PF 21,2100,172.34,8.66,8.86,189.86
LESB,49685,PF 22,2200,174.72,9.31,9.43,193.46
LESB,49685,PF 23,2300,177.32,10.35,10.26,197.92
LESB,49685,PF 24,2400,179.6,11.45,10.78,201.82
LESB,49685,PF 25,2500,181.45,12.57,11.42,205.45
LESB,49685,PF 26,2600,182.93,13.7,12.12,208.75
LESB,49685,PF 27,2700,184.47,14.98,12.91,212.37
LESB,49685,PF 28,2800,185.92,16.13,13.91,215.96
LESB,49685,PF 29,2900,187.27,17.04,14.87,219.17
LESB,49685,PF 30,3000,188.7,17.57,15.73,222.01
LESB,49685,PF 31,3100,190.07,18.31,16.61,224.99
LESB,49685,PF 32,3200,191.33,19.16,17.48,227.97
LESB,49685,PF 33,3300,192.6,20.01,18.25,230.86
LESB,49685,PF 34,3400,193.94,21.1,19.42,234.47
LESB,49685,PF 35,3500,195.21,21.98,20.82,238.01
LESB,49685,PF 36,3600,196.64,23.05,22.02,241.71
LESB,49685,PF 37,3700,197.71,24.15,23.36,245.21
LESB,49685,PF 38,3800,199.14,25.86,25.2,250.2
LESB,49685,PF 39,3900,200.36,27.56,26.96,254.88
LESB,49685,PF 40,4000,201.44,29.84,29.6,260.88
LESB,49685,PF 41,4100,202.49,32.35,32.74,267.58
LESB,49685,PF 42,4200,203.44,34.77,35.73,273.95
LESB,49685,PF 43,4300,204.3,38,38.64,280.94
LESB,49685,PF 44,4400,205.07,41.09,41.71,287.87
LESB,49685,PF 45,4500,205.73,44.87,45.75,296.35
,,,,,,,
LESB,49338,PF 1,100,73.3,,0.72,74.03
LESB,49338,PF 2,200,83.21,0.01,0.82,84.04
LESB,49338,PF 3,300,92.93,0.15,1.01,94.1
LESB,49338,PF 4,400,100.27,0.41,1.19,101.87
LESB,49338,PF 5,500,106.42,0.74,1.37,108.53
LESB,49338,PF 6,600,112.81,1.03,1.84,115.68
LESB,49338,PF 7,700,119.62,1.14,2.08,122.85
LESB,49338,PF 8,800,125.18,1.44,2.43,129.05
LESB,49338,PF 9,900,129.95,1.78,2.73,134.47
LESB,49338,PF 10,1000,136.51,2.01,3.15,141.67
LESB,49338,PF 11,1100,141.09,2.4,3.46,146.95
LESB,49338,PF 12,1200,145.55,2.86,3.81,152.23
LESB,49338,PF 13,1300,149.47,3.42,4.25,157.14
LESB,49338,PF 14,1400,153.03,3.87,4.61,161.5
LESB,49338,PF 15,1500,156.22,4.54,5.11,165.87
LESB,49338,PF 16,1600,159.03,5.25,5.59,169.87
LESB,49338,PF 17,1700,161.8,5.92,6.13,173.85
LESB,49338,PF 18,1800,164.09,6.44,6.67,177.2
