Reach,River Sta,Q Total,Max Chl Dpth,Hydr Depth,Hydr Depth L,Hydr Depth C,Hydr Depth R,Vel Total,Vel Left,Vel Chnl,Vel Right,W.S. Elev,Min Ch El
,,(cfs),(ft),(ft),(ft),(ft),(ft),(ft/s),(ft/s),(ft/s),(ft/s),(ft),(ft)
Reach4B1,265518,1300,9.59,9.4,,9.4,,4.48,,4.48,,105.39,95.8
Reach4B1,265518,1400,9.79,9.6,,9.6,,4.72,,4.72,,105.59,95.8
Reach4B1,265518,1500,10.01,9.81,,9.81,,4.95,,4.95,,105.81,95.8
Reach4B1,265518,1600,10.22,10.01,,10.01,,5.17,,5.17,,106.02,95.8
Reach4B1,265518,1700,10.37,10.15,,10.15,,5.41,,5.41,,106.17,95.8
Reach4B1,265518,1800,10.49,10.26,,10.26,,5.66,,5.66,,106.29,95.8
Reach4B1,265518,1900,10.6,10.37,,10.37,,5.91,,5.91,,106.4,95.8
Reach4B1,265518,2000,10.53,10.31,,10.31,,6.26,,6.26,,106.33,95.8
Reach4B1,265518,2100,10.62,10.39,,10.39,,6.52,,6.52,,106.42,95.8
Reach4B1,265518,2200,10.68,10.45,,10.45,,6.79,,6.79,,106.48,95.8
Reach4B1,265518,2300,10.83,10.59,,10.59,,7,,7,,106.63,95.8
Reach4B1,265518,2400,10.89,10.65,,10.65,,7.26,,7.26,,106.69,95.8
Reach4B1,265518,2500,10.92,10.68,,10.68,,7.55,,7.55,,106.72,95.8
Reach4B1,265518,2600,10.96,10.71,,10.71,,7.82,,7.82,,106.76,95.8
Reach4B1,265518,2700,10.94,10.7,,10.7,,8.13,,8.13,,106.74,95.8
Reach4B1,265518,2800,10.97,10.73,,10.73,,8.41,,8.41,,106.77,95.8
Reach4B1,265518,2900,11.05,10.81,,10.81,,8.64,,8.64,,106.85,95.8
Reach4B1,265518,3000,11.09,10.85,,10.85,,8.91,,8.91,,106.89,95.8
Reach4B1,265518,3100,11.1,10.86,,10.86,,9.2,,9.2,,106.9,95.8
Reach4B1,265518,3200,11.18,10.93,,10.93,,9.42,,9.42,,106.98,95.8
Reach4B1,265518,3300,11.21,10.96,,10.96,,9.7,,9.7,,107.01,95.8
Reach4B1,265518,3400,11.31,11.05,,11.05,,9.9,,9.9,,107.11,95.8
Reach4B1,265518,3500,11.46,11.19,,11.19,,10.06,,10.06,,107.26,95.8
Reach4B1,265518,3600,11.44,11.18,,11.18,,10.36,,10.36,,107.24,95.8
Reach4B1,265518,3700,11.54,11.28,,11.28,,10.55,,10.55,,107.34,95.8
Reach4B1,265518,3800,11.71,11.44,,11.44,,10.67,,10.67,,107.51,95.8
Reach4B1,265518,3900,11.47,11.2,,11.2,,11.2,,11.2,,107.27,95.8
Reach4B1,265518,4000,11.5,11.24,,11.24,,11.44,,11.44,,107.3,95.8
Reach4B1,265518,4100,11.65,11.38,,11.38,,11.58,,11.58,,107.45,95.8
Reach4B1,265518,4200,11.74,11.47,,11.47,,11.76,,11.76,,107.54,95.8
Reach4B1,265518,4300,11.78,11.51,,11.51,,12,,12,,107.58,95.8
Reach4B1,265518,4400,11.89,11.61,,11.61,,12.17,,12.17,,107.69,95.8
Reach4B1,265518,4500,12,11.71,,11.71,,12.33,,12.33,,107.8,95.8
,,,,,,,,,,,,,
Reach4B1,265478,100,4.24,3.57,,3.57,,0.58,,0.58,,98.72,94.48
Reach4B1,265478,200,5.52,4.85,,4.85,,0.86,,0.86,,100,94.48
Reach4B1,265478,300,6.38,5.71,,5.71,,1.09,,1.09,,100.86,94.48
Reach4B1,265478,400,7.24,6.56,,6.56,,1.27,,1.27,,101.72,94.48
Reach4B1,265478,500,7.94,7.27,,7.27,,1.43,,1.43,,102.42,94.48
Reach4B1,265478,600,8.53,7.86,,7.86,,1.59,,1.59,,103.01,94.48
Reach4B1,265478,700,9.02,8.34,,8.34,,1.75,,1.75,,103.5,94.48
Reach4B1,265478,800,9.43,8.76,,8.76,,1.9,,1.9,,103.91,94.48
Reach4B1,265478,900,9.81,9.13,,9.13,,2.05,,2.05,,104.29,94.48
Reach4B1,265478,1000,10.18,9.5,,9.5,,2.19,,2.19,,104.66,94.48
Reach4B1,265478,1100,10.44,9.77,,9.77,,2.35,,2.35,,104.92,94.48
Reach4B1,265478,1200,10.73,10.06,,10.06,,2.48,,2.48,,105.21,94.48
Reach4B1,265478,1300,11,10.33,,10.33,,2.62,,2.62,,105.48,94.48
Reach4B1,265478,1400,11.21,10.54,,10.54,,2.77,,2.77,,105.69,94.48
