Reach,River Sta,Profile,Q Total,SA Chan,SA Left,SA Right,SA Total
,,,(cfs),(acres),(acres),(acres),(acres)
Mariposa Bypass,4348,PF 30,3000,15.61,11.94,43.67,71.22
Mariposa Bypass,4348,PF 31,3100,15.61,12.39,46.44,74.43
Mariposa Bypass,4348,PF 32,3200,15.61,12.76,48.26,76.63
Mariposa Bypass,4348,PF 33,3300,15.61,13.1,49.81,78.52
Mariposa Bypass,4348,PF 34,3400,15.61,13.55,51.07,80.22
Mariposa Bypass,4348,PF 35,3500,15.61,13.95,51.88,81.44
Mariposa Bypass,4348,PF 36,3600,15.61,14.39,52.62,82.62
Mariposa Bypass,4348,PF 37,3700,15.61,14.83,53.44,83.88
Mariposa Bypass,4348,PF 38,3800,15.61,15.3,54.35,85.26
Mariposa Bypass,4348,PF 39,3900,15.61,15.57,55.2,86.37
Mariposa Bypass,4348,PF 40,4000,15.61,15.78,55.65,87.03
Mariposa Bypass,4348,PF 41,4100,15.61,16,56.26,87.87
Mariposa Bypass,4348,PF 42,4200,15.61,16.3,56.68,88.58
Mariposa Bypass,4348,PF 43,4300,15.61,16.6,56.93,89.14
Mariposa Bypass,4348,PF 44,4400,15.61,16.87,57.18,89.65
Mariposa Bypass,4348,PF 45,4500,15.61,17.04,57.48,90.13
,,,,,,,
Mariposa Bypass,4117,PF 1,100,12.25,0.01,0.01,12.27
Mariposa Bypass,4117,PF 2,200,12.66,0.06,0.02,12.74
Mariposa Bypass,4117,PF 3,300,13.55,0.38,0.16,14.1
Mariposa Bypass,4117,PF 4,400,14.03,0.54,0.47,15.03
Mariposa Bypass,4117,PF 5,500,14.24,0.69,1.21,16.14
Mariposa Bypass,4117,PF 6,600,14.35,1.01,1.48,16.84
Mariposa Bypass,4117,PF 7,700,14.37,1.15,1.56,17.09
Mariposa Bypass,4117,PF 8,800,14.39,1.38,1.64,17.4
Mariposa Bypass,4117,PF 9,900,14.4,1.61,1.97,17.97
Mariposa Bypass,4117,PF 10,1000,14.4,1.97,2.65,19.02
Mariposa Bypass,4117,PF 11,1100,14.41,2.21,3.21,19.82
Mariposa Bypass,4117,PF 12,1200,14.41,2.39,3.66,20.46
Mariposa Bypass,4117,PF 13,1300,14.41,2.53,4.38,21.31
Mariposa Bypass,4117,PF 14,1400,14.42,2.76,5.29,22.47
Mariposa Bypass,4117,PF 15,1500,14.42,3.27,6.21,23.9
Mariposa Bypass,4117,PF 16,1600,14.42,3.87,7.37,25.65
Mariposa Bypass,4117,PF 17,1700,14.42,4.58,8.56,27.56
Mariposa Bypass,4117,PF 18,1800,14.42,5.71,9.86,29.99
Mariposa Bypass,4117,PF 19,1900,14.42,6.37,11.41,32.2
Mariposa Bypass,4117,PF 20,2000,14.42,6.96,13.38,34.76
Mariposa Bypass,4117,PF 21,2100,14.42,7.69,15.53,37.64
Mariposa Bypass,4117,PF 22,2200,14.42,8.43,18.06,40.91
Mariposa Bypass,4117,PF 23,2300,14.42,8.95,20.61,43.98
Mariposa Bypass,4117,PF 24,2400,14.42,9.43,23.17,47.01
Mariposa Bypass,4117,PF 25,2500,14.42,9.79,26.14,50.35
Mariposa Bypass,4117,PF 26,2600,14.42,10.02,29.52,53.96
Mariposa Bypass,4117,PF 27,2700,14.42,10.37,33.34,58.13
Mariposa Bypass,4117,PF 28,2800,14.42,10.74,36.92,62.08
Mariposa Bypass,4117,PF 29,2900,14.42,11.11,40.24,65.77
Mariposa Bypass,4117,PF 30,3000,14.42,11.57,42.75,68.74
Mariposa Bypass,4117,PF 31,3100,14.42,12.01,45.49,71.92
Mariposa Bypass,4117,PF 32,3200,14.42,12.38,47.31,74.11
Mariposa Bypass,4117,PF 33,3300,14.42,12.72,48.85,75.99
Mariposa Bypass,4117,PF 34,3400,14.42,13.16,50.1,77.68
Mariposa Bypass,4117,PF 35,3500,14.42,13.56,50.91,78.89
Mariposa Bypass,4117,PF 36,3600,14.42,14,51.65,80.07
Mariposa Bypass,4117,PF 37,3700,14.42,14.42,52.47,81.31
Mariposa Bypass,4117,PF 38,3800,14.42,14.89,53.38,82.68
Mariposa Bypass,4117,PF 39,3900,14.42,15.15,54.22,83.79
Mariposa Bypass,4117,PF 40,4000,14.42,15.36,54.67,84.45
Mariposa Bypass,4117,PF 41,4100,14.42,15.58,55.28,85.28
Mariposa Bypass,4117,PF 42,4200,14.42,15.87,55.7,85.99
Mariposa Bypass,4117,PF 43,4300,14.42,16.17,55.94,86.53
Mariposa Bypass,4117,PF 44,4400,14.42,16.44,56.18,87.04
Mariposa Bypass,4117,PF 45,4500,14.42,16.61,56.48,87.51
,,,,,,,
Mariposa Bypass,4000,PF 1,100,11.91,0.01,0.01,11.92
Mariposa Bypass,4000,PF 2,200,12.27,0.05,0.02,12.34
Mariposa Bypass,4000,PF 3,300,12.94,0.35,0.04,13.33
Mariposa Bypass,4000,PF 4,400,13.34,0.47,0.21,14.02
Mariposa Bypass,4000,PF 5,500,13.52,0.6,0.94,15.06
Mariposa Bypass,4000,PF 6,600,13.61,0.86,1.22,15.69
Mariposa Bypass,4000,PF 7,700,13.63,0.98,1.29,15.9
Mariposa Bypass,4000,PF 8,800,13.65,1.2,1.36,16.21
Mariposa Bypass,4000,PF 9,900,13.66,1.42,1.69,16.77
Mariposa Bypass,4000,PF 10,1000,13.66,1.78,2.37,17.81
Mariposa Bypass,4000,PF 11,1100,13.66,2.02,2.93,18.61
Mariposa Bypass,4000,PF 12,1200,13.67,2.2,3.37,19.24
Mariposa Bypass,4000,PF 13,1300,13.67,2.33,4.09,20.09
Mariposa Bypass,4000,PF 14,1400,13.67,2.57,4.99,21.24
Mariposa Bypass,4000,PF 15,1500,13.68,3.07,5.92,22.67
Mariposa Bypass,4000,PF 16,1600,13.68,3.67,7.07,24.42
Mariposa Bypass,4000,PF 17,1700,13.68,4.38,8.26,26.32
Mariposa Bypass,4000,PF 18,1800,13.68,5.51,9.56,28.74
Mariposa Bypass,4000,PF 19,1900,13.68,6.17,11.11,30.95
Mariposa Bypass,4000,PF 20,2000,13.68,6.76,13.07,33.5
Mariposa Bypass,4000,PF 21,2100,13.68,7.49,15.22,36.38
Mariposa Bypass,4000,PF 22,2200,13.68,8.23,17.74,39.64
Mariposa Bypass,4000,PF 23,2300,13.68,8.74,20.29,42.71
Mariposa Bypass,4000,PF 24,2400,13.68,9.22,22.85,45.74
