Reach,River Sta,Q Total,Max Chl Dpth,Hydr Depth,Hydr Depth L,Hydr Depth C,Hydr Depth R,Vel Total,Vel Left,Vel Chnl,Vel Right,W.S. Elev,Min Ch El
,,(cfs),(ft),(ft),(ft),(ft),(ft),(ft/s),(ft/s),(ft/s),(ft/s),(ft),(ft)
LESB,54849,3700,15.55,8.7,,10.41,0.82,1.6,,1.63,0.28,93.69,78.14
LESB,54849,3800,15.7,8.72,,10.46,0.94,1.62,,1.65,0.31,93.84,78.14
LESB,54849,3900,15.83,8.74,,10.51,1.03,1.64,,1.67,0.33,93.97,78.14
LESB,54849,4000,15.96,8.75,,10.56,1.12,1.66,,1.69,0.35,94.1,78.14
LESB,54849,4100,16.08,8.69,,10.55,1.17,1.67,,1.71,0.37,94.22,78.14
LESB,54849,4200,16.2,8.28,0.04,10.53,1.06,1.69,0.04,1.73,0.35,94.34,78.14
LESB,54849,4300,16.31,7.85,0.07,10.56,1.08,1.71,0.06,1.75,0.37,94.45,78.14
LESB,54849,4400,16.42,7.41,0.12,10.66,1.03,1.72,0.09,1.77,0.37,94.56,78.14
LESB,54849,4500,16.52,6.8,0.14,10.77,1.07,1.73,0.1,1.79,0.38,94.66,78.14
,,,,,,,,,,,,,
LESB,54601,100,1.09,0.69,,0.69,,4.7,,4.7,,84.35,83.26
LESB,54601,200,1.6,1.11,,1.11,,5.29,,5.29,,84.86,83.26
LESB,54601,300,2.3,1.64,,1.64,,4.75,,4.75,,85.56,83.26
LESB,54601,400,2.88,1.89,,1.89,,4.59,,4.59,,86.14,83.26
LESB,54601,500,3.39,1.62,,1.62,,4.25,,4.25,,86.65,83.26
LESB,54601,600,3.83,1.45,,1.45,,3.87,,3.87,,87.09,83.26
LESB,54601,700,4.23,1.52,,1.52,,3.45,,3.45,,87.49,83.26
LESB,54601,800,4.59,1.76,,1.76,,3.15,,3.15,,87.85,83.26
LESB,54601,900,4.93,2.05,,2.05,,2.97,,2.97,,88.19,83.26
LESB,54601,1000,5.24,2.3,,2.3,,2.87,,2.87,,88.5,83.26
LESB,54601,1100,5.52,2.54,,2.54,,2.81,,2.81,,88.78,83.26
LESB,54601,1200,5.79,2.77,,2.77,,2.76,,2.76,,89.05,83.26
LESB,54601,1300,6.05,2.99,,2.99,,2.74,,2.74,,89.31,83.26
LESB,54601,1400,6.3,3.2,,3.2,,2.72,,2.72,,89.56,83.26
LESB,54601,1500,6.55,3.4,,3.4,,2.7,,2.7,,89.81,83.26
LESB,54601,1600,6.79,3.6,,3.6,,2.69,,2.69,,90.05,83.26
LESB,54601,1700,7.03,3.8,,3.8,,2.67,,2.67,,90.29,83.26
LESB,54601,1800,7.24,3.97,,3.97,,2.68,,2.68,,90.5,83.26
LESB,54601,1900,7.46,4.11,,4.11,,2.68,,2.68,,90.72,83.26
LESB,54601,2000,7.66,4.25,,4.25,,2.69,,2.69,,90.92,83.26
LESB,54601,2100,7.84,4.38,,4.38,,2.71,,2.71,,91.1,83.26
LESB,54601,2200,8.03,4.52,,4.52,,2.72,,2.72,,91.29,83.26
LESB,54601,2300,8.21,4.66,,4.66,,2.74,,2.74,,91.47,83.26
LESB,54601,2400,8.38,4.78,,4.78,,2.76,,2.76,,91.64,83.26
LESB,54601,2500,8.54,4.89,,4.89,,2.78,,2.78,,91.8,83.26
LESB,54601,2600,8.7,4.99,,4.99,,2.8,,2.8,,91.96,83.26
LESB,54601,2700,8.86,5.1,,5.1,,2.81,,2.81,,92.12,83.26
LESB,54601,2800,9.01,5.23,,5.23,,2.83,,2.83,,92.27,83.26
LESB,54601,2900,9.16,5.36,,5.36,,2.85,,2.85,,92.42,83.26
LESB,54601,3000,9.31,5.48,,5.48,,2.87,,2.87,,92.57,83.26
LESB,54601,3100,9.45,5.6,,5.6,,2.89,,2.89,,92.71,83.26
LESB,54601,3200,9.59,5.72,,5.72,,2.91,,2.91,,92.85,83.26
LESB,54601,3300,9.74,5.84,,5.84,,2.93,,2.93,,93,83.26
LESB,54601,3400,9.88,5.95,,5.95,,2.95,,2.95,,93.14,83.26
LESB,54601,3500,10.02,6.04,,6.08,0.06,2.96,,2.96,0.13,93.28,83.26
LESB,54601,3600,10.16,6.09,,6.21,0.11,2.98,,2.98,0.19,93.42,83.26
LESB,54601,3700,10.29,6.17,,6.32,0.2,2.99,,3,0.28,93.55,83.26
LESB,54601,3800,10.44,6.22,,6.46,0.24,3,,3.01,0.34,93.7,83.26
LESB,54601,3900,10.57,6.24,0.05,6.58,0.29,3.02,0.11,3.02,0.35,93.83,83.26
LESB,54601,4000,10.69,6.33,0.11,6.7,0.4,3.04,0.18,3.04,0.43,93.95,83.26
LESB,54601,4100,10.81,6.41,0.17,6.83,0.49,3.05,0.24,3.06,0.49,94.07,83.26
LESB,54601,4200,10.93,6.27,0.08,6.94,0.57,3.07,0.23,3.09,0.54,94.19,83.26
LESB,54601,4300,11.04,5.75,0.09,7.05,0.65,3.09,0.2,3.11,0.59,94.3,83.26
