Reach,River Sta,Q Total,Max Chl Dpth,Hydr Depth,Hydr Depth L,Hydr Depth C,Hydr Depth R,Vel Total,Vel Left,Vel Chnl,Vel Right,W.S. Elev,Min Ch El
,,(cfs),(ft),(ft),(ft),(ft),(ft),(ft/s),(ft/s),(ft/s),(ft/s),(ft),(ft)
Rch2B-3_RM216.1,455718,1400,6.85,6.85,,6.85,,0.61,,0.61,,145.45,138.6
Rch2B-3_RM216.1,455718,1500,7.17,7.17,,7.17,,0.62,,0.62,,145.77,138.6
Rch2B-3_RM216.1,455718,1600,7.47,7.47,,7.47,,0.64,,0.64,,146.07,138.6
Rch2B-3_RM216.1,455718,1700,7.75,7.75,,7.75,,0.65,,0.65,,146.35,138.6
Rch2B-3_RM216.1,455718,1800,8.02,8.02,,8.02,,0.67,,0.67,,146.62,138.6
Rch2B-3_RM216.1,455718,1900,8.3,8.3,,8.3,,0.68,,0.68,,146.9,138.6
Rch2B-3_RM216.1,455718,2000,8.54,8.54,,8.54,,0.7,,0.7,,147.15,138.6
Rch2B-3_RM216.1,455718,2100,8.78,8.78,,8.78,,0.71,,0.71,,147.38,138.6
Rch2B-3_RM216.1,455718,2200,9.03,9.03,,9.03,,0.73,,0.73,,147.63,138.6
Rch2B-3_RM216.1,455718,2300,9.27,9.27,,9.27,,0.74,,0.74,,147.87,138.6
Rch2B-3_RM216.1,455718,2400,9.52,9.52,,9.52,,0.75,,0.75,,148.12,138.6
Rch2B-3_RM216.1,455718,2500,9.74,9.74,,9.74,,0.77,,0.77,,148.34,138.6
Rch2B-3_RM216.1,455718,2600,9.93,9.93,,9.93,,0.78,,0.78,,148.53,138.6
Rch2B-3_RM216.1,455718,2700,10.12,10.12,,10.12,,0.8,,0.8,,148.72,138.6
Rch2B-3_RM216.1,455718,2800,10.31,10.31,,10.31,,0.81,,0.81,,148.91,138.6
Rch2B-3_RM216.1,455718,2900,10.48,10.48,,10.48,,0.83,,0.83,,149.08,138.6
Rch2B-3_RM216.1,455718,3000,10.65,10.65,,10.65,,0.84,,0.84,,149.25,138.6
Rch2B-3_RM216.1,455718,3100,10.81,10.81,,10.81,,0.86,,0.86,,149.41,138.6
Rch2B-3_RM216.1,455718,3200,10.97,10.97,,10.97,,0.87,,0.87,,149.57,138.6
Rch2B-3_RM216.1,455718,3300,11.13,11.13,,11.13,,0.89,,0.89,,149.73,138.6
Rch2B-3_RM216.1,455718,3400,11.28,11.28,,11.28,,0.9,,0.9,,149.88,138.6
Rch2B-3_RM216.1,455718,3500,11.42,11.42,,11.42,,0.91,,0.91,,150.02,138.6
Rch2B-3_RM216.1,455718,3600,11.56,11.56,,11.56,,0.93,,0.93,,150.16,138.6
Rch2B-3_RM216.1,455718,3700,11.7,11.7,,11.7,,0.94,,0.94,,150.3,138.6
Rch2B-3_RM216.1,455718,3800,11.82,11.82,,11.82,,0.96,,0.96,,150.42,138.6
Rch2B-3_RM216.1,455718,3900,11.95,11.95,,11.95,,0.97,,0.97,,150.55,138.6
Rch2B-3_RM216.1,455718,4000,12.07,12.07,,12.07,,0.99,,0.99,,150.67,138.6
Rch2B-3_RM216.1,455718,4100,12.19,12.19,,12.19,,1,,1,,150.79,138.6
Rch2B-3_RM216.1,455718,4200,12.31,12.31,,12.31,,1.02,,1.02,,150.91,138.6
Rch2B-3_RM216.1,455718,4300,12.42,12.42,,12.42,,1.03,,1.03,,151.02,138.6
Rch2B-3_RM216.1,455718,4400,12.53,12.53,,12.53,,1.05,,1.05,,151.13,138.6
Rch2B-3_RM216.1,455718,4500,12.64,12.64,,12.64,,1.06,,1.06,,151.24,138.6
,,,,,,,,,,,,,
Rch2B-3_RM216.1,455717,100,1.72,1.72,,1.72,,0.17,,0.17,,139.32,137.6
Rch2B-3_RM216.1,455717,200,2.58,2.58,,2.58,,0.23,,0.23,,140.18,137.6
Rch2B-3_RM216.1,455717,300,3.27,3.27,,3.27,,0.27,,0.27,,140.87,137.6
Rch2B-3_RM216.1,455717,400,3.85,3.85,,3.85,,0.31,,0.31,,141.45,137.6
Rch2B-3_RM216.1,455717,500,4.37,4.37,,4.37,,0.34,,0.34,,141.97,137.6
Rch2B-3_RM216.1,455717,600,4.85,4.85,,4.85,,0.37,,0.37,,142.45,137.6
Rch2B-3_RM216.1,455717,700,5.29,5.29,,5.29,,0.4,,0.4,,142.89,137.6
Rch2B-3_RM216.1,455717,800,5.7,5.7,,5.7,,0.42,,0.42,,143.3,137.6
Rch2B-3_RM216.1,455717,900,6.1,6.1,,6.1,,0.44,,0.44,,143.7,137.6
Rch2B-3_RM216.1,455717,1000,6.49,6.49,,6.49,,0.46,,0.46,,144.09,137.6
Rch2B-3_RM216.1,455717,1100,6.86,6.86,,6.86,,0.48,,0.48,,144.46,137.6
Rch2B-3_RM216.1,455717,1200,7.21,7.21,,7.21,,0.5,,0.5,,144.81,137.6
Rch2B-3_RM216.1,455717,1300,7.53,7.53,,7.53,,0.52,,0.52,,145.13,137.6
Rch2B-3_RM216.1,455717,1400,7.85,7.85,,7.85,,0.53,,0.53,,145.45,137.6
Rch2B-3_RM216.1,455717,1500,8.17,8.17,,8.17,,0.55,,0.55,,145.77,137.6
Rch2B-3_RM216.1,455717,1600,8.47,8.47,,8.47,,0.56,,0.56,,146.07,137.6
Rch2B-3_RM216.1,455717,1700,8.76,8.76,,8.76,,0.58,,0.58,,146.36,137.6
Rch2B-3_RM216.1,455717,1800,9.02,9.02,,9.02,,0.6,,0.6,,146.62,137.6
Rch2B-3_RM216.1,455717,1900,9.3,9.3,,9.3,,0.61,,0.61,,146.9,137.6
Rch2B-3_RM216.1,455717,2000,9.55,9.55,,9.55,,0.63,,0.63,,147.15,137.6
Rch2B-3_RM216.1,455717,2100,9.79,9.79,,9.79,,0.64,,0.64,,147.39,137.6
Rch2B-3_RM216.1,455717,2200,10.03,10.03,,10.03,,0.65,,0.65,,147.63,137.6
Rch2B-3_RM216.1,455717,2300,10.28,10.28,,10.28,,0.67,,0.67,,147.88,137.6
Rch2B-3_RM216.1,455717,2400,10.52,10.52,,10.52,,0.68,,0.68,,148.12,137.6
Rch2B-3_RM216.1,455717,2500,10.74,10.74,,10.74,,0.69,,0.69,,148.34,137.6
Rch2B-3_RM216.1,455717,2600,10.93,10.93,,10.93,,0.71,,0.71,,148.53,137.6
Rch2B-3_RM216.1,455717,2700,11.12,11.12,,11.12,,0.72,,0.72,,148.72,137.6
Rch2B-3_RM216.1,455717,2800,11.31,11.31,,11.31,,0.74,,0.74,,148.91,137.6
Rch2B-3_RM216.1,455717,2900,11.48,11.48,,11.48,,0.75,,0.75,,149.08,137.6
Rch2B-3_RM216.1,455717,3000,11.65,11.65,,11.65,,0.77,,0.77,,149.25,137.6
Rch2B-3_RM216.1,455717,3100,11.81,11.81,,11.81,,0.78,,0.78,,149.41,137.6
Rch2B-3_RM216.1,455717,3200,11.97,11.97,,11.97,,0.8,,0.8,,149.57,137.6
Rch2B-3_RM216.1,455717,3300,12.13,12.13,,12.13,,0.81,,0.81,,149.73,137.6
Rch2B-3_RM216.1,455717,3400,12.28,12.28,,12.28,,0.83,,0.83,,149.88,137.6
Rch2B-3_RM216.1,455717,3500,12.43,12.43,,12.43,,0.84,,0.84,,150.03,137.6
Rch2B-3_RM216.1,455717,3600,12.56,12.56,,12.56,,0.86,,0.86,,150.16,137.6
Rch2B-3_RM216.1,455717,3700,12.7,12.7,,12.7,,0.87,,0.87,,150.3,137.6
Rch2B-3_RM216.1,455717,3800,12.82,12.82,,12.82,,0.88,,0.88,,150.42,137.6
Rch2B-3_RM216.1,455717,3900,12.95,12.95,,12.95,,0.9,,0.9,,150.55,137.6
Rch2B-3_RM216.1,455717,4000,13.07,13.07,,13.07,,0.91,,0.91,,150.67,137.6
Rch2B-3_RM216.1,455717,4100,13.19,13.19,,13.19,,0.93,,0.93,,150.79,137.6
Rch2B-3_RM216.1,455717,4200,13.31,13.31,,13.31,,0.94,,0.94,,150.91,137.6
