Reach,River Sta,Q Total,Max Chl Dpth,Hydr Depth,Hydr Depth L,Hydr Depth C,Hydr Depth R,Vel Total,Vel Left,Vel Chnl,Vel Right,W.S. Elev,Min Ch El
,,(cfs),(ft),(ft),(ft),(ft),(ft),(ft/s),(ft/s),(ft/s),(ft/s),(ft),(ft)
Connect,107660,3600,10.34,4.39,4.52,6.7,3.09,2.9,3.65,2.92,2.38,105.04,94.7
Connect,107660,3700,10.41,4.36,4.56,6.77,3.03,2.94,3.69,2.96,2.41,105.11,94.7
Connect,107660,3800,10.48,4.28,4.6,6.84,2.91,2.97,3.73,2.99,2.43,105.18,94.7
Connect,107660,3900,10.55,4.03,4.64,6.91,2.6,2.99,3.77,3.03,2.45,105.25,94.7
Connect,107660,4000,10.61,3.77,4.68,6.98,2.31,3.02,3.84,3.08,2.41,105.31,94.7
Connect,107660,4100,10.69,3.66,4.73,7.05,2.2,3.03,3.87,3.12,2.41,105.39,94.7
Connect,107660,4200,10.75,3.63,4.76,7.12,2.18,3.05,3.92,3.15,2.4,105.45,94.7
Connect,107660,4300,10.82,3.55,4.8,7.18,2.11,3.07,3.95,3.18,2.4,105.52,94.7
Connect,107660,4400,10.88,3.58,4.84,7.25,2.15,3.08,3.99,3.22,2.4,105.58,94.7
Connect,107660,4500,10.95,3.6,4.88,7.31,2.18,3.1,4.02,3.24,2.39,105.65,94.7
,,,,,,,,,,,,,
Connect,107657,100,4.83,3.84,,3.84,,0.74,,0.74,,99.7,94.87
Connect,107657,200,5.38,4.38,,4.38,,1.3,,1.3,,100.25,94.87
Connect,107657,300,5.81,1.1,0.27,3.11,0.27,1.42,0.25,1.67,0.19,100.68,94.87
Connect,107657,400,6.13,1.39,0.58,3.42,0.57,1.47,0.47,1.91,0.35,101,94.87
Connect,107657,500,6.41,1.66,0.85,3.71,0.84,1.52,0.64,2.08,0.48,101.28,94.87
Connect,107657,600,6.67,1.9,1.1,3.96,1.08,1.58,0.79,2.21,0.59,101.54,94.87
Connect,107657,700,6.9,2.11,1.32,4.2,1.29,1.64,0.92,2.32,0.68,101.77,94.87
Connect,107657,800,7.11,2.3,1.52,4.4,1.47,1.71,1.04,2.43,0.77,101.98,94.87
Connect,107657,900,7.29,2.46,1.69,4.59,1.64,1.78,1.14,2.53,0.84,102.16,94.87
Connect,107657,1000,7.46,2.62,1.85,4.76,1.78,1.85,1.24,2.63,0.92,102.33,94.87
Connect,107657,1100,7.62,2.75,2,4.91,1.92,1.92,1.34,2.73,0.98,102.49,94.87
Connect,107657,1200,7.76,2.88,2.13,5.06,2.04,1.99,1.43,2.83,1.05,102.63,94.87
Connect,107657,1300,7.9,3.01,2.26,5.2,2.16,2.06,1.52,2.92,1.11,102.77,94.87
Connect,107657,1400,8.03,3.12,2.38,5.33,2.27,2.12,1.6,3.01,1.17,102.9,94.87
Connect,107657,1500,8.16,3.21,2.49,5.45,2.32,2.19,1.68,3.1,1.21,103.03,94.87
Connect,107657,1600,8.28,3.25,2.6,5.57,2.31,2.25,1.76,3.19,1.24,103.15,94.87
Connect,107657,1700,8.39,3.26,2.71,5.69,2.25,2.3,1.85,3.29,1.24,103.27,94.87
Connect,107657,1800,8.51,3.34,2.81,5.8,2.31,2.36,1.92,3.37,1.28,103.38,94.87
Connect,107657,1900,8.61,3.41,2.9,5.91,2.37,2.41,1.99,3.45,1.32,103.48,94.87
Connect,107657,2000,8.72,3.5,2.99,6.01,2.45,2.46,2.06,3.52,1.36,103.59,94.87
Connect,107657,2100,8.82,3.59,3.08,6.11,2.54,2.51,2.12,3.58,1.41,103.69,94.87
Connect,107657,2200,8.92,3.67,3.17,6.21,2.62,2.56,2.18,3.65,1.46,103.79,94.87
Connect,107657,2300,9.01,3.76,3.25,6.31,2.71,2.61,2.24,3.71,1.5,103.88,94.87
Connect,107657,2400,9.11,3.84,3.34,6.41,2.79,2.65,2.3,3.77,1.54,103.98,94.87
Connect,107657,2500,9.2,3.92,3.42,6.5,2.87,2.7,2.36,3.83,1.59,104.07,94.87
Connect,107657,2600,9.29,3.96,3.5,6.59,2.88,2.75,2.41,3.89,1.63,104.16,94.87
Connect,107657,2700,9.38,3.95,3.57,6.67,2.81,2.79,2.47,3.95,1.66,104.25,94.87
Connect,107657,2800,9.46,3.99,3.64,6.76,2.82,2.83,2.52,4,1.7,104.33,94.87
Connect,107657,2900,9.55,4.03,3.72,6.84,2.86,2.87,2.57,4.06,1.74,104.42,94.87
Connect,107657,3000,9.63,4.08,3.79,6.92,2.89,2.91,2.62,4.11,1.77,104.5,94.87
Connect,107657,3100,9.71,4.08,3.85,7,2.86,2.95,2.67,4.17,1.8,104.58,94.87
Connect,107657,3200,9.78,4.07,3.92,7.08,2.81,2.99,2.73,4.23,1.82,104.65,94.87
Connect,107657,3300,9.86,4.06,3.96,7.15,2.78,3.03,2.77,4.29,1.85,104.73,94.87
Connect,107657,3400,9.94,4.05,3.99,7.23,2.75,3.06,2.81,4.35,1.87,104.81,94.87
Connect,107657,3500,10.01,4.06,4.02,7.3,2.76,3.1,2.85,4.41,1.89,104.88,94.87
Connect,107657,3600,10.08,4.09,4.08,7.37,2.77,3.13,2.9,4.46,1.91,104.95,94.87
Connect,107657,3700,10.15,4.11,4.14,7.44,2.78,3.16,2.94,4.51,1.93,105.02,94.87
Connect,107657,3800,10.22,4.09,4.2,7.51,2.73,3.19,2.99,4.56,1.95,105.09,94.87
Connect,107657,3900,10.28,3.98,4.26,7.58,2.58,3.22,3.04,4.62,1.97,105.15,94.87
Connect,107657,4000,10.35,3.83,4.32,7.64,2.4,3.25,3.08,4.67,1.98,105.22,94.87
Connect,107657,4100,10.42,3.7,4.38,7.71,2.25,3.27,3.13,4.71,1.98,105.29,94.87
Connect,107657,4200,10.48,3.63,4.43,7.78,2.18,3.29,3.17,4.76,1.98,105.35,94.87
Connect,107657,4300,10.55,3.58,4.48,7.84,2.13,3.31,3.22,4.81,1.98,105.42,94.87
Connect,107657,4400,10.61,3.46,4.54,7.91,2.02,3.33,3.26,4.86,1.97,105.48,94.87
Connect,107657,4500,10.67,3.44,4.59,7.97,2.01,3.34,3.3,4.91,1.97,105.54,94.87
,,,,,,,,,,,,,
Connect,107610,100,4.98,4.37,,4.37,,1.26,,1.26,,99.67,94.69
Connect,107610,200,5.47,4.86,,4.86,,2.26,,2.26,,100.16,94.69
Connect,107610,300,5.95,0.92,,0.92,,1.85,,1.85,,100.64,94.69
Connect,107610,400,6.27,1.24,,1.24,,1.83,,1.83,,100.96,94.69
Connect,107610,500,6.56,1.51,,1.51,,1.86,,1.86,,101.25,94.69
Connect,107610,600,6.82,1.73,,1.73,,1.9,,1.9,,101.51,94.69
Connect,107610,700,7.05,1.94,,1.94,,1.95,,1.95,,101.74,94.69
Connect,107610,800,7.25,2.14,,2.14,,2.02,,2.02,,101.94,94.69
Connect,107610,900,7.44,2.32,,2.32,,2.09,,2.09,,102.13,94.69
Connect,107610,1000,7.6,2.47,,2.47,,2.16,,2.16,,102.29,94.69
Connect,107610,1100,7.76,2.62,,2.62,,2.24,,2.24,,102.45,94.69
Connect,107610,1200,7.9,2.75,,2.75,,2.32,,2.32,,102.59,94.69
Connect,107610,1300,8.04,2.88,,2.88,,2.39,,2.39,,102.73,94.69
Connect,107610,1400,8.17,3,,3,,2.46,,2.46,,102.86,94.69
Connect,107610,1500,8.29,3.11,,3.11,,2.53,,2.53,,102.98,94.69
Connect,107610,1600,8.41,3.22,,3.22,,2.6,,2.6,,103.1,94.69
Connect,107610,1700,8.53,3.33,,3.33,,2.67,,2.67,,103.22,94.69
Connect,107610,1800,8.64,3.43,,3.43,,2.74,,2.74,,103.33,94.69
Connect,107610,1900,8.74,3.52,0.05,3.53,,2.8,0.18,2.8,,103.43,94.69
Connect,107610,2000,8.84,3.6,0.1,3.63,,2.87,0.29,2.87,,103.53,94.69
Connect,107610,2100,8.94,3.56,0.15,3.72,0.02,2.93,0.38,2.93,0.11,103.63,94.69
Connect,107610,2200,9.04,3.55,0.2,3.81,0.1,2.99,0.46,2.99,0.21,103.73,94.69
Connect,107610,2300,9.14,3.53,0.25,3.9,0.14,3.04,0.54,3.05,0.3,103.83,94.69
Connect,107610,2400,9.23,3.56,0.3,4,0.21,3.08,0.61,3.1,0.37,103.92,94.69
Connect,107610,2500,9.32,3.62,0.35,4.09,0.28,3.13,0.69,3.16,0.44,104.01,94.69
Connect,107610,2600,9.41,3.69,0.42,4.18,0.36,3.18,0.77,3.21,0.53,104.1,94.69
Connect,107610,2700,9.5,3.64,0.47,4.26,0.33,3.23,0.84,3.27,0.59,104.19,94.69
Connect,107610,2800,9.58,3.67,0.53,4.34,0.39,3.27,0.91,3.32,0.64,104.27,94.69
Connect,107610,2900,9.66,3.6,0.58,4.42,0.37,3.31,0.97,3.37,0.67,104.35,94.69
Connect,107610,3000,9.74,3.53,0.63,4.5,0.37,3.35,1.03,3.43,0.69,104.43,94.69
Connect,107610,3100,9.81,3.52,0.68,4.58,0.41,3.39,1.09,3.48,0.71,104.5,94.69
Connect,107610,3200,9.89,3.53,0.72,4.66,0.45,3.42,1.14,3.52,0.74,104.58,94.69
Connect,107610,3300,9.97,3.5,0.77,4.73,0.48,3.46,1.19,3.57,0.75,104.66,94.69
Connect,107610,3400,10.04,3.4,0.78,4.81,0.47,3.49,1.21,3.62,0.76,104.73,94.69
Connect,107610,3500,10.11,3.31,0.79,4.88,0.47,3.51,1.22,3.67,0.77,104.8,94.69
